1700 3
2.791 1.621 3.976 
1.673 1.006 2.258 
3.105 3.007 3.728 
1.988 3.959 1.071 
1.419 1.036 1.060 
1.304 1.431 2.113 
3.649 2.639 2.041 
3.414 1.418 3.216 
2.857 2.113 2.208 
3.898 3.101 3.717 
1.007 2.548 2.465 
2.723 2.287 3.118 
3.192 3.779 1.065 
2.864 2.701 1.816 
1.944 3.179 3.892 
3.511 1.094 1.346 
2.948 1.251 2.276 
2.677 1.588 2.687 
3.846 3.942 3.485 
1.537 1.621 2.258 
2.049 2.126 1.809 
1.797 2.547 2.304 
3.599 3.535 3.798 
1.978 2.246 2.801 
2.404 2.518 3.078 
2.643 2.702 2.331 
2.903 1.297 2.616 
1.992 1.108 1.794 
1.404 1.609 1.086 
3.061 2.044 1.133 
1.614 3.438 3.575 
1.168 1.863 2.352 
2.330 1.091 2.780 
2.447 3.039 2.215 
2.519 1.019 2.299 
2.016 3.137 1.943 
1.812 1.315 3.508 
1.625 3.209 1.065 
3.616 1.492 2.181 
2.383 2.332 1.471 
2.242 2.264 3.784 
2.232 2.573 3.091 
3.558 1.423 2.872 
1.166 3.879 1.410 
3.324 2.154 2.124 
3.338 2.690 1.868 
2.448 3.199 1.742 
1.275 1.148 1.025 
2.936 2.538 3.435 
3.711 3.862 1.699 
1.375 3.034 3.121 
2.394 2.608 2.678 
2.383 1.406 2.926 
1.556 3.288 1.071 
2.260 1.027 3.265 
1.469 1.346 3.877 
3.367 2.540 3.473 
2.316 3.122 2.489 
2.173 2.552 3.387 
2.215 2.887 2.935 
2.105 2.020 2.600 
2.071 1.775 1.272 
2.645 2.827 1.683 
2.678 3.016 2.240 
1.519 2.224 3.649 
2.752 1.050 1.182 
1.567 2.431 3.096 
3.987 1.285 2.377 
3.962 3.758 3.997 
3.796 2.108 3.174 
1.069 1.667 1.495 
3.959 2.529 2.658 
2.092 1.578 3.250 
3.504 2.159 2.117 
3.175 3.589 3.521 
3.838 2.810 2.967 
3.182 2.510 2.223 
3.257 3.632 3.862 
1.258 3.058 2.713 
1.064 3.217 2.422 
3.093 2.347 1.888 
2.480 2.191 1.453 
3.125 1.686 1.013 
1.827 1.666 2.902 
2.786 3.934 3.460 
3.101 3.178 3.019 
2.916 3.235 1.535 
3.551 1.211 2.957 
1.301 2.884 3.095 
1.804 1.647 1.342 
1.775 1.138 3.707 
3.891 1.643 1.828 
1.007 3.814 1.016 
1.956 2.745 2.904 
2.581 1.422 1.278 
1.321 1.722 2.392 
3.892 3.580 2.444 
1.388 3.833 2.727 
2.228 2.479 1.078 
1.160 2.315 1.850 
2.984 2.543 1.061 
3.635 3.063 1.141 
3.229 3.746 1.360 
1.578 2.702 3.883 
1.632 2.180 2.791 
1.250 1.178 3.682 
1.332 1.780 1.876 
2.488 3.943 2.074 
2.675 2.689 1.128 
3.586 2.741 3.136 
2.088 1.694 3.497 
3.924 3.901 2.337 
3.880 3.771 3.198 
3.845 2.479 3.723 
3.774 2.685 1.737 
1.234 1.061 1.112 
3.591 1.795 2.869 
3.735 2.259 2.273 
2.049 2.343 3.038 
2.611 2.656 2.421 
3.770 2.961 2.046 
3.644 2.764 2.113 
3.227 3.866 1.916 
2.433 2.810 2.126 
1.548 1.089 3.760 
1.371 3.574 3.330 
1.266 1.518 3.878 
1.232 3.001 3.701 
2.347 2.510 1.711 
3.442 2.729 1.940 
2.051 3.206 1.946 
3.766 2.352 1.659 
2.025 2.754 3.577 
1.888 3.590 1.237 
3.025 1.205 3.269 
3.435 1.528 2.268 
3.130 2.512 2.919 
2.803 2.548 1.954 
1.237 1.083 1.548 
2.820 3.779 1.436 
1.940 2.770 1.985 
2.100 3.279 1.545 
3.699 1.890 1.487 
3.823 2.478 2.088 
3.389 1.857 3.864 
1.028 1.044 2.341 
3.696 2.655 2.023 
2.661 2.831 1.020 
1.043 2.663 1.570 
1.263 2.114 2.156 
2.196 1.674 3.395 
1.344 2.441 3.737 
1.249 2.119 2.674 
2.793 1.192 1.008 
1.367 1.276 1.800 
2.348 3.003 2.999 
2.030 3.049 3.161 
3.791 3.379 3.714 
2.376 2.960 2.985 
1.823 1.681 1.310 
1.046 1.094 3.158 
2.307 2.942 1.769 
3.572 3.608 1.818 
2.002 1.227 1.091 
3.538 1.906 1.281 
3.530 3.352 2.166 
3.511 2.288 2.226 
3.447 2.271 3.248 
2.559 3.574 2.734 
3.736 2.019 2.833 
3.778 1.690 1.009 
1.965 2.795 3.011 
3.197 1.867 2.029 
3.835 2.319 2.024 
1.369 3.199 2.805 
2.987 3.206 1.547 
3.307 3.284 2.165 
2.807 1.468 1.580 
2.646 2.197 2.460 
1.862 3.195 3.128 
3.846 2.081 1.454 
3.455 2.903 3.979 
1.581 1.117 1.906 
2.474 3.451 3.577 
3.880 2.030 2.244 
1.773 3.799 1.314 
3.894 2.720 3.732 
3.424 1.172 1.788 
1.793 3.109 2.043 
1.071 3.556 2.334 
1.377 3.195 3.851 
3.749 1.658 2.695 
2.135 2.937 1.726 
3.497 2.530 2.600 
2.205 1.031 1.153 
2.306 2.588 2.409 
2.976 3.254 3.325 
2.615 1.045 3.276 
2.547 3.863 3.469 
1.052 2.071 3.043 
2.585 2.514 1.181 
3.986 3.768 2.098 
1.317 1.478 3.487 
3.025 1.299 3.125 
3.072 2.807 1.792 
1.633 2.740 1.248 
2.793 3.743 2.845 
3.671 2.010 1.131 
1.209 1.231 1.999 
1.077 1.964 2.287 
2.976 2.280 3.004 
2.412 3.094 1.036 
1.296 2.150 1.594 
3.249 1.085 1.273 
1.224 3.942 2.864 
3.194 3.799 1.989 
2.759 1.046 3.881 
2.319 3.759 1.536 
3.514 1.897 1.513 
2.349 1.675 3.432 
3.332 3.917 2.999 
1.266 1.137 3.535 
1.475 1.470 1.344 
2.899 2.588 2.796 
3.465 1.234 3.689 
3.856 3.557 1.804 
2.679 3.132 1.492 
2.522 3.776 3.788 
3.768 1.744 3.553 
1.487 3.508 2.955 
1.977 2.120 2.085 
3.542 1.631 3.299 
1.439 3.373 1.082 
3.430 3.204 1.035 
1.813 2.604 3.103 
3.247 2.906 3.818 
1.669 3.770 1.194 
1.204 1.598 3.634 
3.369 3.235 3.693 
2.940 2.752 1.194 
2.345 2.371 2.927 
2.957 1.739 1.368 
2.852 1.749 3.068 
2.930 3.669 2.736 
1.022 2.151 1.679 
1.563 2.238 3.552 
3.481 3.672 2.985 
2.989 2.257 3.328 
2.588 3.333 2.910 
3.028 3.244 2.863 
3.231 2.721 3.035 
3.360 1.026 1.588 
2.315 3.763 1.576 
2.764 2.944 1.325 
1.921 2.042 3.228 
2.421 2.925 2.474 
3.455 1.267 1.679 
2.975 3.596 2.324 
2.105 1.911 2.773 
2.733 2.935 2.164 
3.812 3.910 2.793 
2.495 1.244 3.623 
3.720 2.043 1.750 
3.473 3.131 3.848 
1.845 3.295 2.417 
3.193 2.840 2.344 
2.305 2.032 3.206 
2.486 1.159 2.522 
3.119 2.413 2.499 
2.730 3.980 3.389 
3.055 3.546 1.787 
1.659 3.199 2.401 
1.248 1.876 3.889 
3.146 3.614 3.025 
3.045 1.640 3.317 
3.339 3.038 1.005 
2.983 3.594 2.993 
1.564 3.001 3.759 
2.005 2.737 2.407 
1.597 1.607 2.736 
2.134 3.315 2.145 
3.381 3.567 3.480 
2.446 1.206 3.736 
2.058 2.628 1.442 
1.781 3.480 2.001 
1.554 1.382 1.570 
2.695 2.334 3.562 
1.602 1.054 1.786 
2.408 3.570 2.403 
2.447 2.342 3.530 
3.109 3.213 1.791 
1.253 2.576 2.141 
3.048 1.707 1.647 
1.805 1.186 1.465 
1.765 1.138 3.436 
1.745 3.014 2.147 
2.688 3.564 3.172 
1.453 1.613 2.786 
3.477 1.398 2.438 
2.463 1.988 2.424 
1.611 2.842 2.002 
1.680 3.844 2.171 
2.536 3.467 2.114 
3.766 1.597 3.230 
1.095 1.531 2.567 
1.382 2.082 1.658 
3.565 2.730 1.584 
3.844 1.590 3.327 
3.605 2.609 1.411 
1.109 2.530 2.930 
2.915 1.721 1.434 
2.646 1.520 1.919 
3.415 2.178 2.218 
2.320 2.050 3.897 
1.350 3.343 2.183 
2.634 3.714 1.237 
2.098 2.219 2.076 
3.007 3.643 3.555 
3.796 3.836 1.428 
2.495 2.857 1.228 
2.261 3.738 2.560 
3.727 2.452 1.450 
3.333 1.687 2.983 
3.885 1.735 3.036 
1.585 1.950 1.745 
2.555 3.719 2.188 
3.309 3.820 1.367 
3.248 1.119 1.424 
1.699 1.866 3.432 
3.614 3.434 2.636 
1.941 1.752 3.618 
2.982 3.173 2.109 
2.752 3.760 3.126 
3.303 3.132 1.473 
3.039 3.190 2.716 
2.612 1.969 3.736 
1.227 3.482 2.088 
2.783 2.643 1.871 
2.323 1.353 2.654 
1.203 1.984 3.954 
2.520 3.210 3.994 
3.718 2.745 3.972 
3.303 1.938 3.481 
1.101 1.384 2.129 
2.139 3.782 3.287 
3.430 2.618 2.588 
1.342 3.653 2.386 
1.225 2.201 3.325 
3.135 3.675 1.926 
2.671 1.583 3.554 
3.380 2.202 3.145 
2.521 2.574 2.117 
2.227 3.164 1.281 
1.255 1.422 2.870 
1.782 1.901 1.589 
2.359 2.465 2.546 
1.444 2.081 3.353 
3.710 1.576 1.792 
1.365 2.408 2.516 
3.906 3.257 3.669 
2.122 3.682 3.431 
2.146 2.016 1.701 
1.924 1.434 3.269 
3.859 1.156 1.895 
1.719 3.824 1.238 
1.700 1.482 3.436 
2.148 3.509 2.253 
3.672 3.640 2.173 
1.326 1.809 2.913 
1.725 3.750 3.817 
1.895 2.680 2.507 
1.707 3.719 2.716 
1.130 3.899 2.400 
3.198 2.616 2.383 
1.782 1.856 1.194 
2.562 2.267 2.977 
1.354 2.012 3.953 
3.449 2.689 2.432 
2.086 1.281 2.011 
1.482 2.017 1.956 
1.139 3.958 3.309 
1.158 3.824 1.238 
1.370 2.858 3.263 
3.947 3.954 2.871 
3.042 3.613 3.542 
3.944 2.555 1.354 
1.112 3.625 3.261 
1.944 1.388 1.984 
1.697 3.856 1.985 
3.752 3.988 2.638 
2.985 3.037 2.697 
2.424 1.490 3.557 
1.532 2.987 3.399 
1.902 2.267 1.148 
1.016 3.658 2.018 
3.945 1.207 3.520 
3.502 1.690 3.559 
1.971 3.022 2.841 
2.306 1.493 3.489 
1.763 1.799 1.073 
6.274 6.113 3.590 
7.208 7.940 5.592 
6.667 6.844 3.456 
7.615 5.780 4.837 
5.498 5.603 4.824 
6.008 5.077 4.437 
6.325 7.489 3.536 
6.423 7.322 4.873 
7.199 6.763 5.053 
7.921 7.305 5.991 
6.821 6.376 4.691 
7.007 5.712 3.558 
6.753 7.137 4.130 
6.765 6.064 4.559 
7.761 5.160 5.966 
5.841 6.497 4.899 
6.308 7.327 3.958 
7.795 7.021 5.498 
7.582 7.645 3.435 
7.196 5.823 3.000 
7.833 7.531 5.618 
7.926 5.198 3.334 
5.699 7.558 3.878 
5.075 5.347 4.515 
6.184 7.365 3.932 
6.596 7.549 5.165 
5.059 5.200 5.998 
7.004 6.251 5.774 
6.663 5.503 4.607 
5.003 6.519 3.701 
7.164 5.521 4.472 
6.326 6.165 3.915 
6.352 6.132 4.399 
5.373 6.063 3.617 
6.644 6.087 4.747 
5.390 7.196 5.574 
5.403 6.282 4.500 
7.020 5.199 5.684 
5.860 6.953 4.481 
7.175 6.673 5.799 
5.925 5.637 4.689 
5.631 6.125 4.365 
7.992 6.274 3.458 
5.404 7.514 4.126 
6.324 7.786 4.055 
7.564 7.735 4.913 
7.830 5.120 5.698 
5.609 7.585 5.086 
5.328 7.913 3.790 
5.048 5.462 4.561 
5.525 7.608 5.934 
5.713 5.558 4.962 
5.728 6.557 5.561 
7.707 7.514 4.400 
6.137 6.120 4.493 
7.869 7.452 4.543 
6.096 6.857 5.484 
5.291 6.864 4.226 
6.570 5.377 5.449 
5.022 6.755 5.603 
6.335 6.881 3.359 
7.299 7.200 5.823 
5.201 6.839 5.959 
7.468 7.194 4.473 
7.176 5.549 4.719 
5.316 5.541 4.129 
5.702 6.541 4.612 
5.746 5.718 5.162 
5.814 5.637 5.858 
7.313 5.109 3.970 
5.397 7.166 5.427 
7.295 7.033 5.047 
6.932 7.573 4.705 
6.236 5.134 4.070 
7.725 7.578 3.409 
7.770 7.457 5.239 
7.346 7.441 4.864 
7.388 6.648 3.760 
6.808 5.168 4.715 
7.157 7.880 5.999 
6.324 6.371 4.063 
6.482 6.730 5.034 
7.226 6.284 3.384 
7.204 6.767 4.237 
6.183 6.699 3.048 
7.159 6.373 5.707 
7.402 6.840 4.106 
6.649 7.951 4.984 
5.149 5.927 4.358 
5.735 5.960 5.610 
6.535 7.904 3.971 
7.458 6.440 3.433 
5.953 6.562 4.659 
7.070 6.824 5.508 
7.091 6.351 5.315 
6.755 7.071 5.505 
7.270 6.321 4.789 
7.022 5.915 5.511 
6.863 6.080 5.553 
7.546 5.570 5.930 
6.439 7.326 4.532 
6.368 6.981 4.504 
5.789 7.580 4.785 
7.575 5.144 3.581 
6.829 6.715 3.706 
7.979 7.107 3.374 
6.052 5.976 5.785 
6.959 7.243 5.385 
7.698 6.276 4.494 
7.251 6.223 3.328 
6.632 6.580 5.233 
5.080 7.242 5.015 
6.151 7.582 3.025 
5.094 6.927 3.525 
7.512 6.407 4.174 
5.687 6.001 4.657 
5.382 5.314 3.716 
6.894 5.422 3.889 
7.618 7.412 4.583 
6.899 5.889 5.201 
7.009 7.911 3.358 
7.416 7.005 4.885 
5.768 6.003 3.327 
7.727 7.155 3.414 
6.526 6.626 3.369 
5.828 6.421 5.665 
6.459 7.191 3.831 
6.581 7.288 3.131 
5.991 7.606 3.980 
6.876 5.523 3.244 
6.639 7.226 3.246 
6.348 5.432 5.085 
7.763 5.249 4.134 
6.665 5.987 4.856 
6.907 6.662 4.471 
5.076 5.724 5.125 
6.726 7.745 5.272 
5.053 5.514 5.548 
7.249 7.600 5.607 
7.797 5.851 3.326 
6.560 6.606 5.620 
5.986 6.466 3.349 
7.982 7.520 4.519 
6.088 7.209 3.763 
5.592 5.954 4.096 
6.743 7.998 3.055 
6.349 5.003 4.829 
7.212 6.393 5.477 
7.219 6.952 4.457 
7.068 7.464 5.398 
5.556 5.248 3.031 
7.117 5.470 3.193 
