2800 3
2.815 1.278 1.924 
3.654 1.894 2.152 
2.477 2.673 2.925 
1.181 3.455 1.051 
3.441 2.427 2.047 
2.417 1.310 1.564 
3.959 2.824 1.161 
1.667 3.649 3.893 
2.079 1.644 3.492 
3.729 3.054 2.949 
1.345 3.576 1.940 
2.024 2.357 1.798 
1.395 1.519 1.809 
2.128 1.560 1.131 
3.293 3.430 1.954 
1.310 1.221 1.177 
1.828 3.305 2.426 
2.685 2.994 2.768 
1.593 2.412 3.064 
1.711 1.354 2.689 
3.791 3.362 3.039 
3.782 2.167 1.172 
1.918 3.299 2.524 
3.756 3.245 2.940 
3.468 2.796 1.902 
1.362 1.307 3.114 
2.280 3.153 1.413 
3.961 3.808 1.404 
2.887 2.656 1.611 
2.097 1.782 1.347 
3.030 3.738 3.911 
2.644 1.209 3.316 
2.759 2.318 3.842 
3.733 2.943 1.374 
2.213 2.284 2.265 
3.028 1.051 2.038 
2.934 1.747 2.867 
2.109 3.868 1.469 
1.750 2.574 3.537 
3.622 1.674 2.529 
2.212 3.383 3.839 
3.268 1.555 2.331 
1.089 1.237 2.417 
2.934 2.793 3.863 
1.764 1.154 3.573 
3.075 2.514 2.215 
2.470 1.817 3.246 
1.907 2.153 1.207 
3.233 3.907 2.963 
3.100 2.808 2.687 
1.099 1.245 3.576 
1.961 2.101 3.538 
3.876 1.343 1.877 
1.253 2.085 3.941 
1.790 3.350 3.876 
3.640 3.027 1.439 
1.148 1.937 3.551 
2.798 3.575 1.510 
2.684 3.755 2.966 
2.643 2.415 2.198 
3.319 2.490 1.858 
3.022 2.836 3.623 
1.425 1.543 2.916 
2.424 3.449 2.110 
2.073 1.768 3.244 
3.059 2.558 3.585 
2.807 2.859 2.126 
2.988 2.405 2.565 
2.776 3.541 3.514 
3.690 1.514 3.411 
3.564 3.301 2.591 
3.828 3.985 2.309 
2.019 1.218 1.906 
3.005 3.200 2.259 
1.123 2.393 3.855 
3.434 1.745 2.403 
1.373 3.272 3.508 
1.134 3.575 3.895 
3.247 1.548 2.819 
3.372 2.896 2.840 
2.334 1.112 3.717 
2.417 1.324 2.615 
3.906 3.553 3.606 
2.801 3.479 2.449 
3.123 1.691 3.277 
3.260 3.462 1.911 
1.387 3.546 3.763 
3.746 2.701 3.352 
1.165 3.543 3.136 
2.652 3.858 3.632 
3.194 3.947 1.298 
2.659 2.237 3.941 
2.541 2.111 2.732 
2.212 3.382 1.075 
1.078 3.864 1.890 
2.531 2.191 2.294 
1.254 3.461 1.162 
1.664 2.158 2.233 
1.493 2.471 2.975 
3.353 2.978 3.180 
3.481 1.429 3.628 
2.114 1.791 1.592 
2.056 1.695 2.678 
1.506 3.101 3.007 
3.095 3.953 3.976 
3.766 3.000 3.573 
