location
"(42.728258, -78.594915)"
"(42.70977364, -78.57771635)"
"(42.875776, -78.799448)"
"(42.89957233, -78.84958774)"
"(42.9494342, -78.78539912)"
"(43.0941437, -78.9565891)"
"(42.9786479, -78.75142694)"
"(43.03245091, -78.88218999)"
"(42.53658765, -78.47846925)"
"(43.085596, -78.990648)"
"(42.97318356, -78.76220137)"
"(43.12415243, -79.0425539)"
"(42.559087, -79.098301)"
"(43.167658, -78.699049)"
"(42.946834, -78.729594)"
"(42.945224, -78.868232)"
"(43.17218665, -78.69685605)"
"(43.04015365, -78.87364447)"
"(43.2870377, -78.9097631)"
"(42.875376, -78.862303)"
"(42.9201978, -78.7922287)"
"(42.909323, -78.813729)"
"(43.13334205, -78.80484179)"
"(42.96094, -78.8981)"
"(42.89943675, -78.8754952)"
"(43.169974, -78.695744)"
"(43.0797147, -78.96041125)"
"(43.03459, -78.866172)"
"(43.11185112, -79.05644506)"
"(43.09873066, -78.94432873)"
"(42.59931, -78.715263)"
"(43.30711148, -78.68777141)"
"(42.822466, -78.64028)"
"(42.87152525, -78.79071627)"
"(43.13340371, -78.78941238)"
"(42.52276138, -78.66674155)"
"(43.07906623, -78.95819575)"
"(42.865059, -78.821926)"
"(43.07563181, -78.96887094)"
"(43.08003011, -78.9812091)"
"(42.864413, -78.823436)"
"(43.04901973, -78.87708843)"
"(43.08275514, -79.04433489)"
"(42.90216783, -78.86502922)"
"(43.15386859, -78.68332028)"
"(42.878215, -78.873315)"
"(42.783339, -78.747036)"
"(43.16378153, -78.68732885)"
"(43.09873066, -78.94432873)"
"(42.92044136, -78.87329578)"
"(42.97823188, -78.68631363)"
"(42.801256, -78.636567)"
"(42.932987, -78.776307)"
"(43.02407855, -78.77839118)"
"(43.10173099, -79.04266387)"
"(43.0359799, -78.82700086)"
"(43.08836938, -79.05755281)"
"(42.75145566, -78.81732345)"
"(43.05744944, -78.83333355)"
"(43.022853, -78.965749)"
"(43.041456, -78.876774)"
"(43.09199602, -79.03554127)"
"(43.046844, -78.991613)"
"(42.97817694, -78.77459049)"
"(42.78627558, -78.77214432)"
"(42.94906462, -78.81898642)"
"(43.139843, -78.614487)"
"(42.83026078, -78.82393979)"
"(42.76173197, -78.69689226)"
"(42.830786, -78.696957)"
"(42.945224, -78.868232)"
"(43.16771672, -78.70974809)"
"(42.87296, -78.840567)"
"(42.88859768, -78.87320727)"
"(43.02236472, -78.85559857)"
"(42.761905, -78.811742)"
"(42.99068264, -78.71600501)"
"(42.8660331, -78.8676095)"
"(42.765544, -78.667452)"
"(42.978591, -78.783702)"
"(42.66154709, -78.96008134)"
"(42.885952, -78.873677)"
