LOCAL ID,COUNTY,MUNICIPALITY,ON,FROM,TO,APPROACH,AT,DIRECTION,AADT YEAR,AADT,AADT CARS,AADT TRUCKS,LOCATION
530233,ERIE,AURORA,OLEAN RD,START OLAP RT 400 EXPWY,END OLAP RT 400 EWPWY {CONFLICTS W/OTHER 1090},BETWEEN,,2-WAY,01/01/1981 12:00:00 AM,6550,,,"(42.728258, -78.594915)"
530064,ERIE,WALES,OLEAN RD,WARNER HILL RD,START OLAP RT 400 EXPWY,BETWEEN,,2-WAY,01/01/2001 12:00:00 AM,12200,,,"(42.70977364, -78.57771635)"
533061,ERIE,BUFFALO,I-190 @ SOUTH OGDEN ST,,,,GRISWOLD ST TO I-190 SB (ON),RAMP,01/01/2009 12:00:00 AM,6267,5693,573,"(42.875776, -78.799448)"
530150,ERIE,BUFFALO,KENSINGTON EXPWY,JEFFERSON AV,BEST ST,BETWEEN,,2-WAY,01/01/1977 12:00:00 AM,47000,,,"(42.89957233, -78.84958774)"
534497,ERIE,AMHERST,KENSINGTON AVE,CHKTG/AMHERST TOWN LN,RT 240 HARLEM RD,BETWEEN,,2-WAY,01/01/1991 12:00:00 AM,9700,,,"(42.9494342, -78.78539912)"
540288,NIAGARA,NIAGARA FALLS,NIA FALLS BLVD,NIAGARA FALLS E CITY LN,RT 265 MILITARY RD,BETWEEN,,2-WAY,01/01/1975 12:00:00 AM,20700,,,"(43.0941437, -78.9565891)"
530293,ERIE,AMHERST,SHERIDAN DR,RT 277 N FOREST RD,EVANS ST,BETWEEN,,2-WAY,01/01/1982 12:00:00 AM,19600,,,"(42.9786479, -78.75142694)"
540031,NIAGARA,NORTH TONAWANDA,RIVER RD,RT 384 MAIN ST,RT 429 WHEATFIELD ST,BETWEEN,,2-WAY,01/01/2004 12:00:00 AM,23400,,,"(43.03245091, -78.88218999)"
530042,ERIE,SARDINIA,OLEAN RD,ERIE CO LN,END OLAP RT 39,BETWEEN,,2-WAY,01/01/2001 12:00:00 AM,14200,,,"(42.53658765, -78.47846925)"
540566,NIAGARA,NIAGARA FALLS,N GRAND ISLAND BRG,NIAGARA CO LN (LASALLE EXPWY),RT 62 NF BLVD,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,55000,,,"(43.085596, -78.990648)"
530033,ERIE,AMHERST,N FOREST RD,N UNION RD,RT 324 SHERIDAN DR,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,13525,,,"(42.97318356, -78.76220137)"
544084,NIAGARA,NIAGARA FALLS,HIGHLAND AVE,RT 31 COLLEGE AV,MARYLAND AV,BETWEEN,,2-WAY,01/01/2001 12:00:00 AM,3200,,,"(43.12415243, -79.0425539)"
520103,ERIE,EVANS,NYS THRUWAY,SILVER CREEK (M58),ERIE CO LN,BETWEEN,,2-WAY,01/01/1993 12:00:00 AM,21400,,,"(42.559087, -79.098301)"
540131,NIAGARA,LOCKPORT,W GENESEE ST,PROSPECT ST,RT 78 TRANSIT RD,BETWEEN,,2-WAY,01/01/2002 12:00:00 AM,8500,,,"(43.167658, -78.699049)"
531007,ERIE,CHEEKTOWAGA,AERO DR,ELLICOTT CREEK RD,YOUNGS RD,BETWEEN,,2-WAY,01/01/1999 12:00:00 AM,6900,,,"(42.946834, -78.729594)"
530304,ERIE,BUFFALO,DELAWARE AVE,AMHERST ST,HERTEL AV,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,24675,,,"(42.945224, -78.868232)"
540322,NIAGARA,LOCKPORT,N TRANSIT ST,NIAGARA ST,GRAND ST,BETWEEN,,2-WAY,01/01/2000 12:00:00 AM,4600,,,"(43.17218665, -78.69685605)"
544182,NIAGARA,NORTH TONAWANDA,PAYNE AVE,WHEATFIELD ST,WALCK DR,BETWEEN,,2-WAY,01/01/2005 12:00:00 AM,7600,,,"(43.04015365, -78.87364447)"
544204,NIAGARA,PORTER,RANSOMVILLE RD,YOUNGSTOWN RD,RT 18 LAKE RD,BETWEEN,,2-WAY,01/01/1990 12:00:00 AM,1800,,,"(43.2870377, -78.9097631)"
N9041N,ERIE,BUFFALO,NIAGARA THRUWAY,HAMBURG ST (EXIT 5),ELM ST (EXIT 6),BETWEEN,,NB,01/01/2015 12:00:00 AM,46443,,,"(42.875376, -78.862303)"
530926,ERIE,CHEEKTOWAGA,GENESEE ST,BUFFALO CITY LN,RT 240 HARLEM RD,BETWEEN,,2-WAY,01/01/1993 12:00:00 AM,11200,,,"(42.9201978, -78.7922287)"
530254,ERIE,BUFFALO,BAILEY AVE,WALDEN AV,GENESEE ST,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,13075,,,"(42.909323, -78.813729)"
544111,NIAGARA,"CAMBRIA, PENDLETON",LOCKPORT RD,TOWNLINE RD,MEAHL RD,BETWEEN,,2-WAY,01/01/2007 12:00:00 AM,7100,,,"(43.13334205, -78.80484179)"
534782,ERIE,BUFFALO,SKILLEN ST,ONTARIO ST,VULCAN ST,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,2687,2496,190,"(42.96094, -78.8981)"
534015,ERIE,BUFFALO,ALLEN ST,ELMWOOD AV,RT 384 DELAWARE AV,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,3999,3914,84,"(42.89943675, -78.8754952)"
541209,NIAGARA,LOCKPORT,NIAGARA ST,N TRANSIT RD,RICHMOND AV,BETWEEN,,2-WAY,01/01/2000 12:00:00 AM,3100,,,"(43.169974, -78.695744)"
544311,NIAGARA,NIAGARA FALLS,CAYUGA DR,RT 384 BUFFALO AV,RT 265 S MILITARY RD,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,6826,6196,629,"(43.0797147, -78.96041125)"
544211,NIAGARA,NORTH TONAWANDA,ROBINSON ST,PAYNE AV,RT 425 TWIN CITIES HWY,BETWEEN,,2-WAY,01/01/2005 12:00:00 AM,7500,,,"(43.03459, -78.866172)"
544265,NIAGARA,NIAGARA FALLS,WHIRLPOOL ST,WHIRLPOOL BRIDGE,FINDLAY DR,BETWEEN,,2-WAY,01/01/2015 12:00:00 AM,1534,1507,26,"(43.11185112, -79.05644506)"
540026,NIAGARA,WHEATFIELD,NIA FALLS BLVD,WILLIAMS RD,NIAGARA FALLS E CITY LN,BETWEEN,,2-WAY,01/01/1981 12:00:00 AM,11900,,,"(43.09873066, -78.94432873)"
536022,ERIE,CONCORD,SPRINGVILLE-BOSTON RD,SNYDER RD N,BOSTON TOWN LN,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,1712,1608,103,"(42.59931, -78.715263)"
547045,NIAGARA,NEWFANE,DRAKE SETTLEMENT RD,TRANSIT RD,FULLER RD,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,910,,,"(43.30711148, -78.68777141)"
534725,ERIE,ELMA,RICE RD,DELLWOOD DR,BOWEN RD,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,2509,1805,703,"(42.822466, -78.64028)"
530451,ERIE,"CHEEKTOWAGA,WEST SENECA",CLINTON ST,BUFFALO CITY LN,RT 240 HARLEM RD,BETWEEN,,2-WAY,01/01/1977 12:00:00 AM,13100,,,"(42.87152525, -78.79071627)"
546101,NIAGARA,"CAMBRIA, PENDLETON",LOCKPORT RD,MEAHL RD,COMSTOCK RD,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,6681,5604,1076,"(43.13340371, -78.78941238)"
537006,ERIE,CONCORD,BUFFALO ST,SPRINGVILLE VILL LN,SPRING-BOSTON RD,BETWEEN,,2-WAY,01/01/2000 12:00:00 AM,1300,,,"(42.52276138, -78.66674155)"
