2800 3
2.084 3.764 1.932 
2.959 3.103 2.637 
3.543 3.927 3.289 
3.743 1.657 1.750 
2.027 1.674 2.759 
2.212 3.045 3.101 
1.231 3.437 2.771 
2.122 3.588 2.732 
3.794 3.790 2.007 
3.554 2.857 3.471 
1.121 3.003 1.304 
2.797 3.966 3.267 
3.399 1.209 1.768 
2.135 3.862 3.751 
3.702 1.393 3.530 
3.336 1.186 1.904 
1.157 2.540 1.998 
2.444 2.456 1.657 
3.112 1.576 1.741 
2.391 1.999 2.926 
1.979 3.286 3.369 
3.277 2.644 2.807 
2.357 3.657 1.164 
2.893 3.420 1.628 
1.720 3.704 2.289 
1.409 2.672 2.214 
2.613 3.508 3.831 
1.134 3.399 2.934 
2.833 1.315 1.895 
3.517 3.257 1.067 
1.094 1.752 2.551 
1.805 2.416 3.236 
3.331 2.965 1.351 
3.984 3.017 1.624 
3.373 1.791 1.491 
3.691 1.005 2.933 
3.639 3.562 3.348 
3.579 3.062 3.390 
3.851 2.139 2.448 
3.943 2.855 1.049 
2.871 2.959 1.674 
2.250 3.187 2.364 
1.847 1.268 2.577 
1.378 1.987 1.710 
3.656 3.409 1.822 
1.629 3.632 1.376 
1.475 3.956 1.346 
2.650 2.142 1.201 
2.587 2.109 2.551 
2.400 1.867 2.166 
2.896 1.837 2.374 
2.449 3.565 1.698 
1.534 3.869 1.169 
3.291 3.334 1.181 
2.119 3.149 2.368 
1.292 2.712 3.797 
1.305 3.245 1.467 
3.234 2.276 3.649 
2.376 3.233 1.348 
3.788 3.411 2.745 
3.131 1.603 2.008 
2.379 3.822 3.759 
3.518 1.682 1.151 
1.762 2.547 2.011 
3.461 3.790 1.707 
3.205 2.789 1.726 
3.157 1.189 3.331 
2.084 1.440 3.999 
1.271 1.316 3.921 
3.608 1.010 2.447 
3.404 1.989 2.148 
3.308 1.891 3.433 
1.430 2.987 1.891 
2.493 2.607 2.038 
2.258 1.510 2.328 
3.179 1.498 2.894 
3.731 3.785 1.354 
2.301 2.148 1.767 
2.295 2.187 1.704 
2.764 1.019 3.375 
2.184 2.581 2.280 
3.787 2.098 2.520 
1.720 3.398 2.036 
2.899 1.984 2.876 
1.681 3.464 3.999 
3.681 3.595 1.834 
3.833 3.120 3.557 
2.412 1.840 1.635 
2.339 1.518 2.457 
1.125 2.447 1.661 
1.275 2.813 2.905 
3.899 1.904 2.225 
1.394 1.343 3.099 
2.573 2.536 1.233 
3.742 2.995 1.975 
3.097 1.242 1.688 
2.407 3.334 3.908 
1.129 3.273 1.287 
3.357 2.737 2.772 
1.162 3.208 3.235 
2.798 2.792 1.144 
2.222 3.530 3.030 
2.195 3.411 3.165 
3.131 3.265 3.687 
2.444 1.441 2.542 
2.816 3.649 3.923 
2.782 3.441 1.213 
2.631 2.844 3.990 
1.640 3.266 1.112 
1.033 2.146 2.029 
1.647 2.735 1.055 
1.838 2.145 3.136 
1.124 2.057 1.734 
3.288 3.827 1.530 
1.047 1.020 2.670 
3.943 1.750 1.688 
2.125 1.684 1.360 
2.250 3.001 1.218 
2.669 3.633 3.150 
1.941 2.752 3.153 
1.501 1.654 3.002 
2.244 3.092 3.443 
2.095 1.498 1.570 
3.812 1.856 2.708 
3.190 2.969 2.427 
3.216 1.559 3.765 
3.338 2.162 1.378 
1.060 3.233 1.954 
3.974 3.468 2.825 
3.576 1.824 1.696 
3.930 1.057 1.470 
3.879 2.321 1.170 
2.983 3.048 2.525 
3.616 2.673 2.289 
2.920 2.149 1.763 
3.814 1.643 3.109 
2.760 2.699 3.131 
3.498 1.159 2.067 
1.942 1.839 1.472 
3.167 2.561 2.781 
3.112 3.179 3.042 
3.373 2.124 3.835 
1.211 3.625 1.575 
1.225 3.431 1.371 
1.270 1.227 1.510 
2.608 2.387 1.109 
3.844 1.372 3.500 
2.071 2.239 3.259 
2.393 3.352 3.507 
2.764 1.743 1.308 
3.838 1.378 1.424 
3.728 1.788 1.721 
2.459 1.591 2.005 
2.806 1.726 3.847 
1.721 2.033 2.772 
3.715 3.656 2.607 
2.972 1.398 3.777 
2.890 3.499 1.147 
3.458 2.367 3.383 
2.313 1.528 3.343 
1.738 3.205 1.490 
3.025 3.882 2.844 
2.619 1.720 3.782 
2.178 2.623 1.827 
3.369 2.454 1.519 
1.626 2.301 1.159 
1.403 2.674 1.849 
2.418 3.312 3.687 
2.049 2.796 3.991 
3.524 1.785 2.156 
2.165 2.564 2.722 
