162 2
A 42.932987 -78.776307
A 42.902221 -78.769567
A 42.927162 -78.759592
A 42.94483952 -78.75768185
A 42.900521 -78.754292
A 42.908066 -78.77429
A 42.896843 -78.767212
A 42.947714 -78.763238
A 42.949685 -78.776929
A 42.883889 -78.754334
A 42.90266688 -78.75446588
A 42.912488 -78.754222
A 42.93466039 -78.76714468
A 42.88409328 -78.75746727
A 42.911499 -78.771236
A 42.887033 -78.754635
A 42.930442 -78.7606
A 42.88388103 -78.76297116
A 42.88388103 -78.76297116
A 42.928745 -78.75412
A 42.8600289 -78.76456708
A 42.94483952 -78.75768185
A 42.908066 -78.77429
A 42.945239 -78.763416
A 42.867782 -78.760625
A 42.879039 -78.773822
A 42.890869 -78.754506
A 42.92305 -78.754131
A 42.94416411 -78.76634002
A 42.930442 -78.7606
A 42.93274 -78.77913
A 42.934474 -78.76477
A 42.8600289 -78.76456708
A 42.909619 -78.771457
A 42.924912 -78.765771
A 42.87985583 -78.77423495
A 42.875084 -78.753519
A 42.94366147 -78.75034332
A 42.890869 -78.754506
A 42.90266688 -78.75446588
A 42.93010438 -78.76717687
A 42.91883071 -78.76433373
A 42.945239 -78.763416
A 42.88423 -78.775805
A 42.900521 -78.754292
A 42.94500445 -78.77360076
A 42.946443 -78.76034
A 42.88423 -78.775805
A 42.94500445 -78.77360076
A 42.900521 -78.754292
A 42.932987 -78.776307
A 42.94960648 -78.76392603
A 42.924912 -78.765771
A 42.94416411 -78.76634002
A 42.947812 -78.764796
A 42.91135046 -78.76550317
A 42.945239 -78.763416
A 42.91883071 -78.76433373
A 42.871492 -78.75577
A 42.917479 -78.754168
A 42.93158905 -78.7640655
A 42.94416411 -78.76634002
A 42.87849574 -78.77613545
A 42.871492 -78.75577
A 42.88388103 -78.76297116
A 42.8600289 -78.76456708
A 42.875084 -78.753519
A 42.930442 -78.7606
A 42.922052 -78.766308
A 42.908286 -78.759913
A 42.87849574 -78.77613545
A 42.94416411 -78.76634002
A 42.902221 -78.769567
A 42.908066 -78.77429
A 42.928745 -78.75412
A 42.890869 -78.754506
A 42.896843 -78.767212
A 42.912488 -78.754222
A 42.896843 -78.767212
A 42.94483952 -78.75768185
A 42.8600289 -78.76456708
A 42.94366147 -78.75034332
A 42.94960648 -78.76392603
A 42.909619 -78.771457
A 42.928745 -78.75412
A 42.887033 -78.754635
A 42.928745 -78.75412
A 42.908286 -78.759913
A 42.92968018 -78.76539588
A 42.946443 -78.76034
A 42.883889 -78.754334
A 42.90646266 -78.76768112
A 42.928745 -78.75412
A 42.908286 -78.759913
A 42.911499 -78.771236
A 42.91131117 -78.76746655
A 42.94960648 -78.76392603
A 42.928745 -78.75412
A 42.93943 -78.766462
A 42.940088 -78.754206
A 42.91883071 -78.76433373
A 42.88423 -78.775805
A 42.871492 -78.75577
A 42.93534377 -78.76728416
A 42.87904215 -78.76426935
A 42.922052 -78.766308
A 42.94483952 -78.75768185
A 42.93010438 -78.76717687
A 42.930442 -78.7606
A 42.88409328 -78.75746727
A 42.94500445 -78.77360076
A 42.91883071 -78.76433373
A 42.947445 -78.765336
A 42.928745 -78.75412
A 42.875084 -78.753519
A 42.932987 -78.776307
A 42.946443 -78.76034
A 42.912488 -78.754222
A 42.875084 -78.753519
A 42.924912 -78.765771
A 42.94366147 -78.75034332
A 42.890869 -78.754506
A 42.883889 -78.754334
A 42.88837668 -78.75112727
A 42.896843 -78.767212
A 42.908066 -78.77429
A 42.94821255 -78.76594305
A 42.87904215 -78.76426935
A 42.94416411 -78.76634002
A 42.922936 -78.776017
A 42.928745 -78.75412
A 42.930442 -78.7606
A 42.94416411 -78.76634002
A 42.949603 -78.757063
A 42.930356 -78.755399
A 42.940088 -78.754206
A 42.887033 -78.754635
A 42.887033 -78.754635
A 42.88423 -78.775805
A 42.92305 -78.754131
A 42.94960648 -78.76392603
A 42.878145 -78.777995
A 42.896843 -78.767212
A 42.917479 -78.754168
A 42.917479 -78.754168
A 42.940088 -78.754206
A 42.86805796 -78.77095878
A 42.949685 -78.776929
A 42.92305 -78.754131
A 42.88388103 -78.76297116
A 42.87849574 -78.77613545
A 42.928745 -78.75412
A 42.87849574 -78.77613545
A 42.87904215 -78.76426935
A 42.93401629 -78.76539588
A 42.939522 -78.766308
A 42.93274 -78.77913
A 42.902221 -78.769567
A 42.920607 -78.766341
A 42.940638 -78.770771
A 42.939522 -78.766308
A 42.909619 -78.771457
